INFO   | jvm 1    | 2015/08/14 12:47:25 | Duration of executing thread PollingOrSync in MilliSeconds : 547
INFO   | jvm 1    | 2015/08/14 12:47:25 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 12:47:50 | Duration of updating measurementpoints in MilliSeconds : 24978


INFO   | jvm 1    | 2015/08/14 14:18:35 | CATA 08/14/15 14:18:34 INFO [org.apache.coyote.AbstractProtocol start] Starting ProtocolHandler ["http-bio-18170"] 
INFO   | jvm 1    | 2015/08/14 14:18:35 | CATA 08/14/15 14:18:34 INFO [org.apache.coyote.AbstractProtocol start] Starting ProtocolHandler ["ajp-bio-18119"] 
INFO   | jvm 1    | 2015/08/14 14:18:35 | CATA 08/14/15 14:18:34 INFO [org.apache.catalina.startup.Catalina start] Server startup in 61010 ms 
INFO   | jvm 1    | 2015/08/14 14:18:42 |  INFO [14-08-2015 14:18:42] Using RMI protocol for remote communication.
INFO   | jvm 1    | 2015/08/14 14:18:43 |  INFO [14-08-2015 14:18:42] Initialization of polling and synchronizer successful.
INFO   | jvm 1    | 2015/08/14 14:18:43 | Duration of executing thread PollingOrSync in MilliSeconds : 47
INFO   | jvm 1    | 2015/08/14 14:20:43 | Duration of exectuing proxyview of PointsToPoll : 750
INFO   | jvm 1    | 2015/08/14 14:20:43 | Duration of executing method getPointsToPoll in MilliSeconds : 781
INFO   | jvm 1    | 2015/08/14 14:20:44 | Duration of executing method doPolling in MilliSeconds : 1219
INFO   | jvm 1    | 2015/08/14 14:20:44 | Duration of executing thread PollingOrSync in MilliSeconds : 1219
INFO   | jvm 1    | 2015/08/14 14:20:44 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 14:21:10 | Duration of updating measurementpoints in MilliSeconds : 25873
INFO   | jvm 1    | 2015/08/14 14:22:43 | Duration of exectuing proxyview of PointsToPoll : 531
INFO   | jvm 1    | 2015/08/14 14:22:43 | Duration of executing method getPointsToPoll in MilliSeconds : 547
INFO   | jvm 1    | 2015/08/14 14:22:43 | Duration of executing method doPolling in MilliSeconds : 781
INFO   | jvm 1    | 2015/08/14 14:22:43 | Duration of executing thread PollingOrSync in MilliSeconds : 781
INFO   | jvm 1    | 2015/08/14 14:22:43 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 14:23:08 | Duration of updating measurementpoints in MilliSeconds : 24295
INFO   | jvm 1    | 2015/08/14 14:24:43 | Duration of exectuing proxyview of PointsToPoll : 547
INFO   | jvm 1    | 2015/08/14 14:24:43 | Duration of executing method getPointsToPoll in MilliSeconds : 563
INFO   | jvm 1    | 2015/08/14 14:24:43 | Duration of executing method doPolling in MilliSeconds : 735
INFO   | jvm 1    | 2015/08/14 14:24:43 | Duration of executing thread PollingOrSync in MilliSeconds : 735
INFO   | jvm 1    | 2015/08/14 14:24:43 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 14:25:06 | Duration of updating measurementpoints in MilliSeconds : 22342
INFO   | jvm 1    | 2015/08/14 14:26:43 | Duration of exectuing proxyview of PointsToPoll : 485
INFO   | jvm 1    | 2015/08/14 14:26:43 | Duration of executing method getPointsToPoll in MilliSeconds : 485
INFO   | jvm 1    | 2015/08/14 14:26:43 | Duration of executing method doPolling in MilliSeconds : 672
INFO   | jvm 1    | 2015/08/14 14:26:43 | Duration of executing thread PollingOrSync in MilliSeconds : 672
INFO   | jvm 1    | 2015/08/14 14:26:43 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 14:27:09 | Duration of updating measurementpoints in MilliSeconds : 25404
INFO   | jvm 1    | 2015/08/14 14:28:43 | Duration of exectuing proxyview of PointsToPoll : 469
INFO   | jvm 1    | 2015/08/14 14:28:43 | Duration of executing method getPointsToPoll in MilliSeconds : 484
INFO   | jvm 1    | 2015/08/14 14:28:43 | Duration of executing method doPolling in MilliSeconds : 656
INFO   | jvm 1    | 2015/08/14 14:28:43 | Duration of executing thread PollingOrSync in MilliSeconds : 656
INFO   | jvm 1    | 2015/08/14 14:28:43 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 14:29:06 | Duration of updating measurementpoints in MilliSeconds : 22417


INFO   | jvm 1    | 2015/08/14 14:56:06 |  INFO [14-08-2015 14:56:06] Using RMI protocol for remote communication.
INFO   | jvm 1    | 2015/08/14 14:56:07 |  INFO [14-08-2015 14:56:07] Initialization of polling and synchronizer successful.
INFO   | jvm 1    | 2015/08/14 14:56:07 | Duration of executing thread PollingOrSync in MilliSeconds : 47
INFO   | jvm 1    | 2015/08/14 14:59:10 | Duration of exectuing proxyview of PointsToPoll : 2594
INFO   | jvm 1    | 2015/08/14 14:59:10 | Duration of executing method getPointsToPoll in MilliSeconds : 2703
INFO   | jvm 1    | 2015/08/14 14:59:12 | Duration of executing method doPolling in MilliSeconds : 5187
INFO   | jvm 1    | 2015/08/14 14:59:12 | Duration of executing thread PollingOrSync in MilliSeconds : 5187
INFO   | jvm 1    | 2015/08/14 14:59:12 | Updated MeasurementPoints count : 6000
INFO   | jvm 1    | 2015/08/14 15:02:09 | Duration of exectuing proxyview of PointsToPoll : 2422
INFO   | jvm 1    | 2015/08/14 15:02:09 | Duration of executing method getPointsToPoll in MilliSeconds : 2469
INFO   | jvm 1    | 2015/08/14 15:02:11 | Duration of executing method doPolling in MilliSeconds : 3828
INFO   | jvm 1    | 2015/08/14 15:02:11 | Duration of executing thread PollingOrSync in MilliSeconds : 3828
INFO   | jvm 1    | 2015/08/14 15:02:22 | Duration of updating measurementpoints in MilliSeconds : 189432
INFO   | jvm 1    | 2015/08/14 15:02:22 | Updated MeasurementPoints count : 5999
INFO   | jvm 1    | 2015/08/14 15:05:09 | Duration of exectuing proxyview of PointsToPoll : 2422
INFO   | jvm 1    | 2015/08/14 15:05:09 | Duration of executing method getPointsToPoll in MilliSeconds : 2469
INFO   | jvm 1    | 2015/08/14 15:05:11 | Duration of executing method doPolling in MilliSeconds : 3672
INFO   | jvm 1    | 2015/08/14 15:05:11 | Duration of executing thread PollingOrSync in MilliSeconds : 3672
INFO   | jvm 1    | 2015/08/14 15:05:30 | Duration of updating measurementpoints in MilliSeconds : 187538
INFO   | jvm 1    | 2015/08/14 15:05:30 | Updated MeasurementPoints count : 6057
INFO   | jvm 1    | 2015/08/14 15:08:09 | Duration of exectuing proxyview of PointsToPoll : 2235
INFO   | jvm 1    | 2015/08/14 15:08:09 | Duration of executing method getPointsToPoll in MilliSeconds : 2281
INFO   | jvm 1    | 2015/08/14 15:08:10 | Duration of executing method doPolling in MilliSeconds : 3453
INFO   | jvm 1    | 2015/08/14 15:08:10 | Duration of executing thread PollingOrSync in MilliSeconds : 3453
INFO   | jvm 1    | 2015/08/14 15:08:36 | Duration of updating measurementpoints in MilliSeconds : 185721
